year	iFF708	iND750	iLL672	iMH805/775	iIN800	yeast 1	iMM904	yeast 4	iAZ900	yeast 5	yeast 6	yeast 7	iSce926	iSc-AMRS-1	yeast 7.Fe	yeast 8
2003	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	49	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	67	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	71	42	13	6	0	0	0	0	0	0	0	0	0	0	0	0
2007	89	43	24	19	0	0	0	0	0	0	0	0	0	0	0	0
2008	95	65	24	27	1	2	0	0	0	0	0	0	0	0	0	0
2009	102	90	27	37	18	47	12	0	0	0	0	0	0	0	0	0
2010	88	66	26	30	22	70	23	1	0	0	0	0	0	0	0	0
2011	70	52	20	18	16	64	21	13	4	0	0	0	0	0	0	0
2012	83	68	24	20	28	72	53	19	20	8	0	0	0	0	0	0
2013	76	56	31	16	20	72	48	23	14	30	1	1	0	0	0	0
2014	82	47	25	21	20	61	41	7	17	35	11	3	0	0	0	0
2015	62	44	10	14	9	49	45	8	9	22	15	18	1	0	0	0
2016	54	38	16	9	9	53	49	8	2	17	21	22	4	3	0	0
2017	60	33	13	14	9	30	41	11	11	9	15	22	6	32	0	0
2018	45	18	10	14	4	24	33	4	4	9	10	24	5	51	0	0
2019	50	20	9	6	8	30	36	8	8	8	12	31	6	59	3	5
2020	28	17	3	6	6	8	16	3	10	5	5	7	4	57	4	12
